"SG_UF","CO_MUNICIPIO","NO_MUNICIPIO","REDE","VL_APROVACAO_2017_SI_4","VL_APROVACAO_2017_1","VL_APROVACAO_2017_2","VL_APROVACAO_2017_3","VL_APROVACAO_2017_4","VL_INDICADOR_REND_2017","VL_APROVACAO_2019_SI_4","VL_APROVACAO_2019_1","VL_APROVACAO_2019_2","VL_APROVACAO_2019_3","VL_APROVACAO_2019_4","VL_INDICADOR_REND_2019","VL_APROVACAO_2021_SI_4","VL_APROVACAO_2021_1","VL_APROVACAO_2021_2","VL_APROVACAO_2021_3","VL_APROVACAO_2021_4","VL_INDICADOR_REND_2021","VL_APROVACAO_2023_SI_4","VL_APROVACAO_2023_1","VL_APROVACAO_2023_2","VL_APROVACAO_2023_3","VL_APROVACAO_2023_4","VL_INDICADOR_REND_2023","VL_NOTA_MATEMATICA_2017","VL_NOTA_PORTUGUES_2017","VL_NOTA_MEDIA_2017","VL_NOTA_MATEMATICA_2019","VL_NOTA_PORTUGUES_2019","VL_NOTA_MEDIA_2019","VL_NOTA_MATEMATICA_2021","VL_NOTA_PORTUGUES_2021","VL_NOTA_MEDIA_2021","VL_NOTA_MATEMATICA_2023","VL_NOTA_PORTUGUES_2023","VL_NOTA_MEDIA_2023","IDEB_2017","IDEB_2019","IDEB_2021","IDEB_2023","VL_PROJECAO_2019","VL_PROJECAO_2021","","","","","",""
"RO","1100015","Alta Floresta D'Oeste","Estadual","88.1","85.0","90.4","90.4","-","0.89","92.2","90.9","91.0","95.2","-","0.92","89.1","88.6","86.6","92.7","-","0.89","97.4","96.0","98.0","99.6","-","0.98","269.38","260.96","4.38","285.14","278.52","4.86","259.69","266.52","4.33","274.69","273.68","4.64","3.9","4.5","3.9","4.5","4.1","4.3","","","","","",""
"RO","1100015","Alta Floresta D'Oeste","Pública","88.1","85.0","90.4","90.4","-","0.89","92.2","90.9","91.0","95.2","-","0.92","89.1","88.6","86.6","92.7","-","0.89","97.4","96.0","98.0","99.6","-","0.98","269.38","260.96","4.38","285.14","278.52","4.86","259.69","266.52","4.33","274.69","273.68","4.64","3.9","4.5","3.9","4.5","4.1","4.3","","","","","",""
"RO","1100023","Ariquemes","Estadual","82.6","77.9","83.0","91.7","-","0.84","81.4","76.0","80.9","90.5","-","0.82","91.8","91.8","89.3","94.9","-","0.92","90.9","90.6","90.2","92.2","-","0.91","269.10","267.82","4.48","276.28","277.61","4.73","264.86","269.05","4.44","269.37","271.11","4.53","3.8","3.9","4.1","4.1","4.0","4.2","","","","","",""
"RO","1100023","Ariquemes","Federal","-","-","-","-","-","-","93.8","89.9","94.3","98.9","-","0.94","-","-","-","-","-","-","93.2","90.6","94.3","96.4","-","0.94","ND","ND","-","ND","ND","-","-","-","-","ND","ND","-","-","-","-","-","-","-","","","","","",""
"RO","1100023","Ariquemes","Pública","84.7","80.3","85.1","92.8","81.8","0.85","83.4","78.2","83.1","92.0","-","0.84","88.0","86.9","87.3","90.2","-","0.88","91.2","90.6","90.7","92.8","-","0.91","269.59","268.22","4.49","278.58","278.78","4.78","264.86","269.05","4.44","272.01","274.56","4.62","3.8","4.0","3.9","4.2","4.0","4.2","","","","","",""
"RO","1100031","Cabixi","Estadual","94.9","92.9","94.7","100.0","-","0.96","94.8","98.5","90.5","93.6","-","0.94","96.8","95.4","97.0","98.3","-","0.97","98.1","98.1","98.5","97.5","-","0.98","255.98","239.01","3.86","ND","ND","-","266.02","257.68","4.28","262.44","256.32","4.21","3.7","-","4.1","4.1","3.9","4.1","","","","","",""
"RO","1100031","Cabixi","Pública","94.9","92.9","94.7","100.0","-","0.96","94.8","98.5","90.5","93.6","-","0.94","96.8","95.4","97.0","98.3","-","0.97","98.1","98.1","98.5","97.5","-","0.98","255.98","239.01","3.86","ND","ND","-","266.02","257.68","4.28","262.44","256.32","4.21","3.7","-","4.1","4.1","3.9","4.1","","","","","",""
"RO","1100049","Cacoal","Estadual","89.1","84.9","91.1","93.1","-","0.90","90.0","86.0","92.7","92.2","-","0.90","93.1","93.8","91.7","93.7","-","0.93","91.9","92.1","91.3","92.4","-","0.92","260.35","254.93","4.16","274.43","269.97","4.59","267.95","270.91","4.51","262.62","260.23","4.27","3.7","4.1","4.2","3.9","3.9","4.2","","","","","",""
"RO","1100049","Cacoal","Federal","97.4","95.7","98.5","100.0","-","0.98","98.6","96.8","100.0","99.4","-","0.99","-","-","-","-","-","-","97.8","98.5","96.8","98.3","-","0.98","297.22","288.41","5.18","323.53","318.09","6.00","-","-","-","301.01","305.36","5.49","5.1","5.9","-","5.4","5.3","5.5","","","","","",""
"RO","1100049","Cacoal","Pública","90.2","86.6","92.3","93.7","-","0.91","91.5","87.8","94.1","93.5","-","0.92","93.5","94.0","92.1","94.3","-","0.93","92.9","92.9","92.3","93.6","-","0.93","263.53","257.82","4.25","282.99","278.36","4.83","267.95","270.91","4.51","270.03","268.93","4.51","3.9","4.4","4.2","4.2","4.1","4.3","","","","","",""
