Sigla da UF,Código do Município,Nome do Município,Código da Escola,Nome da Escola,Rede,IDEB 2005,IDEB 2007,IDEB 2009,IDEB 2011,IDEB 2013,IDEB 2015,IDEB 2017,IDEB 2019,IDEB 2021,IDEB 2023
PE,2601706,Belo Jardim,26049929,ESCOLA MUNICIPAL DE EDUCACAO INTEGRAL PROFESSORA DULCE RAMOS,Municipal,-,-,"3,2","2,7","2,3","2,9",-,"3,5",-,-
PE,2601706,Belo Jardim,26049961,CENTRO DE EXCELENCIA MUNICIPAL PROFESSOR JOSE VIEIRA DA COSTA,Municipal,-,-,"4,1","4,4","3,5","3,6","5,1","5,6","4,5","5,5"
PE,2601706,Belo Jardim,26049996,ESCOLA MUNICIPAL LUIZ PEREIRA DE AMORIM,Municipal,-,-,-,-,"4,5",-,-,"5,6",-,-
PE,2601706,Belo Jardim,26050048,ESCOLA DE REFERENCIA EM ENSINO MEDIO BENTO AMERICO,Estadual,"1,9","1,8","2,1","3,5",-,-,-,-,-,-
PE,2601706,Belo Jardim,26050064,ESCOLA FREI CASSIANO COMACCHIO,Estadual,"2,6","2,8","3,3","3,6","3,2",-,-,-,-,-
PE,2601706,Belo Jardim,26050102,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO MONTEIRO DE MELO,Estadual,"2,1","2,6","2,7","3,2","3,9",-,-,-,-,-
PE,2601706,Belo Jardim,26050137,ESCOLA MINISTRO MARCOS DE BARROS FREIRE,Estadual,"1,9","2,4","3,4","3,3",-,"4,2","4,1","4,0","4,3","4,7"
PE,2601706,Belo Jardim,26050188,ESCOLA PADRE GIOVANNI TONIUTTI,Estadual,"1,0",-,"2,5","2,6","3,6","3,3","4,4","3,9","4,2",-
PE,2601706,Belo Jardim,26050196,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL PROFESSOR DONINO,Estadual,"2,9","3,3","3,3","3,6","4,5","4,2",-,"4,0","5,1","4,6"
PE,2601706,Belo Jardim,26050200,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA MARIA GALVAO,Estadual,"2,4","2,3","3,1","2,9","4,5","4,7","4,2",-,-,-
PE,2601706,Belo Jardim,26050293,ESCOLA MUNICIPAL DOUTOR SEBASTIAO CABRAL,Municipal,-,"3,8","1,2","3,1","2,9","3,4","4,0","4,3",-,"4,2"
PE,2601706,Belo Jardim,26050331,ESCOLA TOMAS ALVES,Estadual,"2,2","2,0","2,9","4,5","4,1","4,6","4,1","4,4","4,4","5,0"
PE,2601706,Belo Jardim,26050609,ESCOLA MUNICIPAL TENENTE JOAO CORDEIRO,Municipal,-,-,-,-,-,"2,4",-,-,"3,2","4,9"
PE,2601706,Belo Jardim,26050633,ESCOLA MUNICIPAL VEREADOR JOAQUIM MEDEIROS,Municipal,-,"3,4","2,6","2,5","3,1","3,1","2,8","3,8","2,5","4,4"
PE,2601706,Belo Jardim,26050862,ESCOLA MUNICIPAL MANOEL TEODORO DE ARRUDA,Municipal,-,-,"2,0","2,8","3,2","3,1","3,4","3,6",-,-
PE,2601706,Belo Jardim,26050978,ESCOLA MUNICIPAL LUIZA LEOPOLDINA LOPES,Municipal,"2,6",-,"1,6","2,3","3,0","3,5",-,"3,9",-,"4,1"
PE,2601706,Belo Jardim,26175673,ESCOLA MUNICIPAL DE EDUCACAO INTEGRAL PROFESSOR ANTENOR VIEIRA DE MELLO,Municipal,-,-,-,"2,9","2,6","2,7","3,6","3,7",-,-
PE,2601706,Belo Jardim,26178630,ESCOLA MUNICIPAL DO CAMPO JOAO BEZERRA FILHO,Municipal,-,-,"3,1","2,0","3,7","3,4",-,-,"3,7","3,5"
PE,2601706,Belo Jardim,26191709,ESCOLA MUNICIPAL PROFESSORA MARIA ANTONIETA GOMES BARBOSA,Municipal,-,-,-,-,-,-,-,-,-,"4,9"
